term,definition,approved,comments
this,This is a definition for 'this'.,yes,Looks good.
is,,no,Not relevant.
a,This is a definition for 'a'.,yes,Looks good.
placeholder,,no,Not relevant.
for,This is a definition for 'for'.,yes,Looks good.
the,,no,Not relevant.
second,This is a definition for 'second'.,yes,Looks good.
seed,,no,Not relevant.
paper,This is a definition for 'paper'.,yes,Looks good.
first,,no,Not relevant.
third,This is a definition for 'third'.,yes,Looks good.
fourth,,no,Not relevant.
fifth,This is a definition for 'fifth'.,yes,Looks good.
